,index,MARS,known_types,Obp19d,Obp56d,Obp83a,seq_batch,seq_depth,HDBSCAN_attempt,Or85c,5-HT1A,5-HT2B,Type,annotated
1544,ORN_10day_nuclei_P2_J17,21,VM1/VL1,9.317239,8.826545,10.675854,Plate #2 (lam::GFP),293599,1,0.0,12.329649,0.0,Ir_MARS21,unannotated
1545,ORNnuclei_adult_nSybUNC84GFP_P6_I2,14,DM1/VA2,4.8935466,0.0,3.4025311,Plate #6 (unc84::GFP),104443,7,0.0,0.0,3.4025311,Or_DM1,DM1
1546,ORNnuclei_adult_nSybUNC84GFP_P8_N10,7,DC1,7.0815377,0.0,10.274386,Plate #8 (unc84::GFP),944641,15,0.0,0.0,10.027525,Or_DC1,DC1
1547,ORNnuclei_adult_nSybUNC84GFP_P9_I22,21,NaN,7.9727416,0.0,0.0,Plate #9 (unc84::GFP),83930,1,0.0,0.0,5.1994395,Ir_MARS21,unannotated
1548,ORNnuclei_adult_nSybUNC84GFP_P5_N11,7,DC1,10.1098175,0.0,10.265055,Plate #5 (unc84::GFP),581527,21,0.0,0.0,9.172602,Or_DC1,DC1
1549,ORN_10day_nuclei_P2_P13,5,DA1,10.927386,0.0,11.011755,Plate #2 (lam::GFP),929374,4,0.0,0.0,1.0538017,Or_DA1,DA1
1550,ORNnuclei_adult_nSybUNC84GFP_P6_E21,26,DL5,13.785397,10.3448305,8.124114,Plate #6 (unc84::GFP),773385,14,0.0,0.0,1.8423892,Or_DL5,DL5
1551,ORNnuclei_adult_nSybUNC84GFP_P7_L9,26,DL5,13.148965,11.025859,4.254199,Plate #7 (unc84::GFP),221205,-1,0.0,0.0,7.737907,Or_DL5,DL5
1552,ORNnuclei_adult_nSybUNC84GFP_P5_B16,10,VA5/D,8.628663,0.0,0.0,Plate #5 (unc84::GFP),131709,19,0.0,0.0,0.0,Or_D,D
1553,ORNnuclei_adult_nSybUNC84GFP_P5_I7,14,DM1/VA2,10.410207,6.4637375,8.15888,Plate #5 (unc84::GFP),1042824,6,0.0,0.0,5.4327297,Or_DM1,DM1
1554,ORNnuclei_adult_nSybUNC84GFP_P1_I3,14,DM1/VA2,3.1459897,0.0,0.0,Plate #1 (unc84::GFP),1910362,6,0.0,0.0,1.6294005,Or_DM1,DM1
1555,ORN_10day_nuclei_P3_C6,5,DA1,12.499993,9.414017,15.58008,Plate #3 (lam::GFP),2288662,-1,0.0,0.0,0.5229963,Or_DA1,DA1
1556,ORNnuclei_adult_nSybUNC84GFP_P9_N22,22,NaN,12.932693,5.7638464,9.383066,Plate #9 (unc84::GFP),262485,12,0.0,0.0,0.0,Or_MARS22,unannotated
1557,ORNnuclei_adult_nSybUNC84GFP_P3_M3,1,DM4,9.051481,0.0,9.847374,Plate #3 (unc84::GFP),1136707,2,0.0,0.0,0.0,Or_DM4,DM4
1558,ORNnuclei_adult_nSybUNC84GFP_P5_L22,5,DA1,10.081582,6.195003,11.62762,Plate #5 (unc84::GFP),733437,4,0.0,0.0,13.577783,Or_DA1,DA1
1559,ORNnuclei_adult_nSybUNC84GFP_P2_P19,24,NaN,14.3076,11.248529,11.357897,Plate #2 (unc84::GFP) (unc84::GFP),203535,-1,0.0,6.222986,0.0,Or_MARS24,unannotated
1560,ORNnuclei_adult_nSybUNC84GFP_P6_I21,14,VM3,9.012717,1.6627094,6.1795406,Plate #6 (unc84::GFP),461658,-1,0.0,0.0,8.944583,Or_DM1,DM1
1561,ORNnuclei_adult_nSybUNC84GFP_P6_L7,22,VA1v,14.098204,12.440601,12.207139,Plate #6 (unc84::GFP),398527,12,0.0,0.0,0.0,Or_MARS22,unannotated
1562,ORN_10day_nuclei_P3_F7,4,VA1v,9.335025,0.0,9.5728445,Plate #3 (lam::GFP),665285,10,0.0,0.0,0.0,Or_VA1v,VA1v
1563,ORNnuclei_adult_nSybUNC84GFP_P9_I8,25,NaN,15.146352,10.137455,14.1256895,Plate #9 (unc84::GFP),228371,-1,0.0,0.0,0.0,Or_MARS25,unannotated
1564,ORN_10day_nuclei_P2_M19,16,VA1v,11.99453,0.0,6.630894,Plate #2 (lam::GFP),1416841,8,0.0,0.0,10.976302,Or_DL3,DL3
1565,ORNnuclei_adult_nSybUNC84GFP_P10_O23,14,DM1/VA2,7.953334,7.7151957,0.0,Plate #10 (unc84::GFP),291673,7,0.0,0.0,0.0,Or_DM1,DM1
1566,ORNnuclei_adult_nSybUNC84GFP_P3_K3,9,VM1/VL1,6.452033,0.0,0.0,Plate #3 (unc84::GFP),1097633,1,0.0,0.0,0.0,Ir_MARS9,unannotated
1567,ORNnuclei_adult_nSybUNC84GFP_P9_C14,20,NaN,9.019175,6.813241,9.8267,Plate #9 (unc84::GFP),1166360,1,0.0,0.0,0.0,Ir_MARS20,unannotated
1568,ORNnuclei_adult_nSybUNC84GFP_P8_D7,23,DL3/DA4m,6.222522,0.0,6.731287,Plate #8 (unc84::GFP),95014,-1,0.0,0.0,11.157899,Or_VA6_DC3_DM3,VA6_DC3_DM3
1569,ORNnuclei_adult_nSybUNC84GFP_P10_F23,23,NaN,9.602635,0.0,12.545525,Plate #10 (unc84::GFP),68258,-1,0.0,0.0,8.683725,Or_VA6_DC3_DM3,VA6_DC3_DM3
1570,ORNnuclei_adult_nSybUNC84GFP_P10_M15,4,VA1v,10.858416,9.859192,10.164831,Plate #10 (unc84::GFP),136886,10,0.0,0.0,7.6311364,Or_VA1v,VA1v
1571,ORN_10day_nuclei_P2_C11,4,NaN,9.534175,9.0047035,0.0,Plate #2 (lam::GFP),1207400,10,0.0,0.0,1.4095006,Or_VA1v,VA1v
1572,ORNnuclei_adult_nSybUNC84GFP_P5_F4,10,VA5/D,11.40376,9.837529,3.398492,Plate #5 (unc84::GFP),419066,19,0.0,0.0,1.7596923,Or_D,D
1573,ORN_10day_nuclei_P3_M6,23,NaN,9.165955,0.0,10.750887,Plate #3 (lam::GFP),509228,-1,0.0,10.899184,0.0,Or_VA6_DC3_DM3,VA6_DC3_DM3
1574,ORNnuclei_adult_nSybUNC84GFP_P8_J17,9,VM1/VL1,12.162702,11.472471,4.0026536,Plate #8 (unc84::GFP),133072,1,0.0,11.506407,4.557299,Ir_MARS9,unannotated
1575,ORNnuclei_adult_nSybUNC84GFP_P6_J6,2,DM2,10.821176,3.6182861,10.124938,Plate #6 (unc84::GFP),886493,3,0.0,0.0,5.6295238,Or_DM2,DM2
1576,ORN_10day_nuclei_P3_C12,22,DA3?,13.642768,7.951668,11.830735,Plate #3 (lam::GFP),2494264,12,0.0,0.0,1.3805518,Or_MARS22,unannotated
1577,ORN_10day_nuclei_P3_N17,14,DM1/VA2,11.659184,0.0,9.7390375,Plate #3 (lam::GFP),309293,7,0.0,0.0,7.226184,Or_DM1,DM1
1578,ORNnuclei_adult_nSybUNC84GFP_P3_N7,13,NaN,10.723275,10.735702,8.134896,Plate #3 (unc84::GFP),888995,1,0.0,0.0,9.685234,Ir_DP1m_DC4,DP1m_DC4
